,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20.0,31,1,0,6,1,30.0,0.35,0.0,0.00,91,271,33.6,801,108,29.0,31.5,125,31.2,31.1,158,16,10.1,25,1.25,15.3,Matches
2,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4.0,7,0,0,3,0,6.9,0.29,-0.1,-0.01,12,24,50.0,90,22,23.3,28.7,37,8.1,19.9,38,1,2.6,4,1.00,16.0,Matches
3,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13.0,26,2,1,4,2,21.2,0.30,-2.8,-0.21,121,316,38.3,395,42,57.0,45.4,111,82.0,57.3,134,7,5.2,17,1.31,16.3,Matches
4,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19.0,27,3,0,2,0,26.1,0.36,-0.9,-0.05,144,290,49.7,632,95,36.1,34.5,128,48.4,42.4,157,13,8.3,17,0.89,14.4,Matches
5,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1.0,2,1,0,1,0,2.0,0.21,0.0,-0.01,8,22,36.4,30,6,50.0,40.4,13,53.8,40.5,14,0,0.0,0,0.00,8.3,Matches
6,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19.0,17,1,1,2,1,20.7,0.25,+4.7,+0.25,182,426,42.7,633,76,48.8,43.0,150,78.0,63.3,173,11,6.4,12,0.63,15.1,Matches
7,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8.0,30,2,0,4,2,24.4,0.44,-3.6,-0.46,70,193,36.3,293,28,49.5,42.1,69,69.6,53.8,51,3,5.9,12,1.50,17.0,Matches
8,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21.0,35,2,0,2,2,30.9,0.31,-2.1,-0.10,152,394,38.6,585,86,47.4,39.7,164,71.3,53.5,188,13,6.9,20,0.95,15.5,Matches
9,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1.0,2,0,0,0,1,1.1,0.19,+0.1,+0.15,4,17,23.5,36,6,30.6,32.0,9,66.7,47.9,7,0,0.0,0,0.00,8.1,Matches
10,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20.0,23,3,0,4,1,26.2,0.32,+4.2,+0.21,95,249,38.2,584,89,34.2,34.0,115,42.6,37.5,139,5,3.6,24,1.20,17.3,Matches
11,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,1.5,4,1,0,0,0,2.5,0.18,-1.5,-0.99,4,9,44.4,47,9,19.1,29.4,7,0.0,23.4,11,3,27.3,1,0.67,15.2,Matches
12,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12.0,21,0,0,4,1,18.2,0.35,-1.8,-0.15,82,157,52.2,382,44,33.8,34.9,76,36.8,36.7,85,3,3.5,12,1.00,16.1,Matches
13,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20.0,32,2,1,6,0,33.2,0.29,+1.2,+0.06,129,316,40.8,665,111,36.8,34.9,146,48.6,41.7,158,9,5.7,14,0.70,15.1,Matches
14,Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27-330,1994,1.0,0,0,0,0,0,1.5,0.37,+1.5,+1.48,8,19,42.1,21,2,52.4,41.1,10,80.0,51.2,22,0,0.0,1,1.00,14.8,Matches
15,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,24-067,1997,19.5,32,3,2,5,2,27.5,0.32,-2.5,-0.13,65,171,38.0,580,83,22.2,29.1,114,36.8,35.6,121,13,10.7,23,1.18,16.7,Matches
16,Andreas Luthe\7fe12375,de GER,GK,Union Berlin,34-338,1987,20.0,26,1,0,4,2,25.3,0.31,+1.3,+0.06,132,379,34.8,587,90,46.7,39.8,172,61.0,45.2,191,13,6.8,12,0.60,13.7,Matches
17,Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,23-260,1998,1.0,3,0,0,0,0,1.9,0.48,-1.1,-1.09,2,5,40.0,15,1,26.7,35.1,7,14.3,34.3,3,0,0.0,3,3.00,26.5,Matches
18,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,24-090,1997,17.0,31,2,1,5,1,23.5,0.26,-6.5,-0.38,70,149,47.0,456,80,25.9,29.3,134,23.1,27.2,154,9,5.8,16,0.94,13.8,Matches
19,Manuel Neuer\8778c910,de GER,GK,Bayern Munich,35-321,1986,20.0,19,0,0,1,0,17.4,0.28,-1.6,-0.08,118,203,58.1,774,116,24.2,30.3,118,13.6,27.5,145,10,6.9,35,1.75,20.5,Matches
20,Stefan Ortega\c1242d4e,de GER,GK,Arminia,29-097,1992,20.0,27,3,0,4,0,30.4,0.28,+3.4,+0.17,281,598,47.0,802,46,60.1,46.6,182,63.7,51.1,178,7,3.9,19,0.95,15.9,Matches
21,Philipp Pentke\c41f7379,de GER,GK,Hoffenheim,36-286,1985,1.0,3,0,0,0,0,2.3,0.33,-0.7,-0.71,4,11,36.4,33,5,30.3,29.5,7,14.3,27.4,8,0,0.0,1,1.00,13.6,Matches
22,Pavao Pervan\c89e8aae,at AUT,GK,Wolfsburg,34-090,1987,2.0,6,1,0,1,1,2.8,0.18,-2.2,-1.11,5,17,29.4,40,10,35.0,35.2,11,27.3,28.6,16,1,6.3,0,0.00,10.9,Matches
23,Diant Ramaj\b90c4a43,de GER,GK,Eint Frankfurt,20-145,2001,1.0,1,0,0,0,0,0.9,0.22,-0.1,-0.14,5,17,29.4,36,6,38.9,35.7,4,75.0,49.0,20,2,10.0,2,2.00,15.5,Matches
24,Manuel Riemann\9f941969,de GER,GK,Bochum,33-155,1988,20.0,28,0,1,4,1,33.6,0.33,+6.6,+0.33,346,749,46.2,893,59,70.5,49.7,158,75.3,54.2,179,24,13.4,34,1.70,17.8,Matches
25,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,29-191,1992,1.0,1,0,0,0,0,0.7,0.14,-0.3,-0.31,5,23,21.7,40,3,50.0,38.3,5,60.0,47.2,5,0,0.0,0,0.00,17.0,Matches
26,Marvin Schwäbe\87436846,de GER,GK,Köln,26-292,1995,9.0,13,0,1,0,0,11.6,0.28,-1.4,-0.15,54,112,48.2,345,37,26.4,31.2,67,31.3,34.0,72,3,4.2,3,0.33,14.1,Matches
27,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,29-254,1992,21.0,43,3,1,7,0,40.8,0.36,-2.2,-0.10,143,347,41.2,585,118,39.0,36.0,172,69.2,51.7,233,10,4.3,15,0.71,13.6,Matches
28,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,33-056,1988,21.0,38,1,1,3,1,40.6,0.34,+3.6,+0.17,144,324,44.4,733,93,36.2,34.3,132,44.7,39.3,144,10,6.9,23,1.10,15.4,Matches
29,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,31-218,1990,20.0,31,3,0,4,0,32.4,0.31,+1.4,+0.07,144,415,34.7,654,89,49.2,38.2,158,58.9,47.8,170,5,2.9,22,1.10,15.8,Matches
30,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,33-192,1988,1.0,2,0,0,1,0,2.0,0.50,0.0,0.00,6,8,75.0,43,6,18.6,25.9,3,0.0,17.0,3,1,33.3,3,3.00,21.1,Matches
31,Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,28-187,1993,2.0,7,0,0,2,0,3.3,0.28,-3.7,-1.84,25,53,47.2,70,14,47.1,38.2,20,100.0,65.7,14,1,7.1,2,1.00,13.0,Matches
32,Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,27-106,1994,21.0,23,2,0,0,1,22.2,0.29,+0.2,+0.01,86,251,34.3,492,115,37.4,36.5,160,41.9,39.1,170,15,8.8,26,1.24,16.8,Matches