,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20,20,1800,20.0,31,1.55,84,55,64.3,8,4,8,5,25.0,3,1,1,1,50.0,Matches
2,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,,Matches
3,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13,13,1170,13.0,26,2.00,67,43,64.2,2,4,7,3,23.1,2,2,0,0,0.0,Matches
4,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19,19,1710,19.0,27,1.42,64,40,62.5,7,3,9,6,31.6,6,3,2,1,40.0,Matches
5,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1,1,90,1.0,2,2.00,5,4,80.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches
6,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19,19,1710,19.0,17,0.89,80,65,80.0,9,5,5,7,36.8,1,1,0,0,0.0,Matches
7,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8,8,720,8.0,30,3.75,52,26,46.2,0,0,8,0,0.0,2,2,0,0,0.0,Matches
8,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21,21,1890,21.0,35,1.67,95,62,65.3,5,7,9,6,28.6,2,2,0,0,0.0,Matches
9,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1,1,90,1.0,2,2.00,6,5,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
10,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20,20,1800,20.0,23,1.15,75,56,73.3,9,4,7,5,25.0,3,3,0,0,0.0,Matches
11,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,2,1,135,1.5,4,2.67,9,6,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches
12,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12,12,1080,12.0,21,1.75,53,33,60.4,3,6,3,0,0.0,0,0,0,0,,Matches
13,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20,20,1800,20.0,32,1.60,110,80,72.7,10,5,5,4,20.0,4,2,1,1,33.3,Matches
14,Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27-330,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
15,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,24-067,1997,20,20,1755,19.5,32,1.64,79,52,63.3,14,1,5,2,10.0,3,3,0,0,0.0,Matches
16,Andreas Luthe\7fe12375,de GER,GK,Union Berlin,34-338,1987,20,20,1800,20.0,26,1.30,81,57,69.1,8,7,5,6,30.0,1,1,0,0,0.0,Matches
17,Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,23-260,1998,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
18,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,24-090,1997,17,17,1530,17.0,31,1.82,85,56,65.9,4,4,9,3,17.6,2,2,0,0,0.0,Matches
19,Manuel Neuer\8778c910,de GER,GK,Bayern Munich,35-321,1986,20,20,1800,20.0,19,0.95,63,44,69.8,17,1,2,7,35.0,0,0,0,0,,Matches
20,Stefan Ortega\c1242d4e,de GER,GK,Arminia,29-097,1992,20,20,1800,20.0,27,1.35,98,74,75.5,3,10,7,5,25.0,3,3,0,0,0.0,Matches
21,Philipp Pentke\c41f7379,de GER,GK,Hoffenheim,36-286,1985,1,1,90,1.0,3,3.00,7,4,57.1,1,0,0,0,0.0,0,0,0,0,,Matches
22,Pavao Pervan\c89e8aae,at AUT,GK,Wolfsburg,34-090,1987,2,2,180,2.0,6,3.00,11,7,54.5,0,0,2,0,0.0,1,1,0,0,0.0,Matches
23,Diant Ramaj\b90c4a43,de GER,GK,Eint Frankfurt,20-145,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
24,Manuel Riemann\9f941969,de GER,GK,Bochum,33-155,1988,20,20,1800,20.0,28,1.40,100,72,72.0,6,4,10,6,30.0,2,0,2,0,100.0,Matches
25,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,29-191,1992,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
26,Marvin Schwäbe\87436846,de GER,GK,Köln,26-292,1995,9,9,810,9.0,13,1.44,42,29,69.0,5,2,2,2,22.2,0,0,0,0,,Matches
27,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,29-254,1992,21,21,1890,21.0,43,2.05,108,67,63.0,6,5,10,3,14.3,3,3,0,0,0.0,Matches
28,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,33-056,1988,21,21,1890,21.0,38,1.81,111,74,66.7,6,5,10,2,9.5,3,1,2,0,66.7,Matches
29,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,31-218,1990,20,20,1800,20.0,31,1.55,99,70,71.7,8,6,6,3,15.0,3,3,0,0,0.0,Matches
30,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,33-192,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
31,Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,28-187,1993,2,2,180,2.0,7,3.50,12,5,41.7,0,1,1,0,0.0,0,0,0,0,,Matches
32,Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,27-106,1994,21,21,1890,21.0,23,1.10,71,51,70.4,9,3,9,8,38.1,3,2,1,0,33.3,Matches