Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,uid
1,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4.0,3,0,0,0,0,2.1,0.21,-0.9,-0.22,19,43,44.2,79,14,32.9,33.5,21,81.0,53.6,37,0,0.0,7,1.75,15.5,Matches,9e17ccff
2,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,5.7,13,2,1,0,0,13.3,0.42,0.3,0.05,33,86,38.4,141,39,39.7,34.7,44,68.2,50.2,52,1,1.9,9,1.59,15.8,Matches,be13e5a8
3,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22.0,18,2,1,1,0,21.9,0.25,3.9,0.18,100,255,39.2,433,91,37.4,34.3,153,60.8,46.5,181,11,6.1,16,0.73,14.7,Matches,8a2248b4
4,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4.0,4,1,0,1,0,4.6,0.34,0.6,0.16,18,75,24.0,97,18,56.7,42.2,24,83.3,54.2,21,4,19.0,6,1.5,15.7,Matches,28dabd43
5,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13.0,19,3,2,6,0,14.6,0.29,-4.4,-0.33,55,122,45.1,239,82,32.6,35.2,98,44.9,40.5,134,17,12.7,7,0.54,14.5,Matches,28dabd43
6,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,5.2,12,0,1,1,1,10.2,0.35,-0.8,-0.16,44,100,44.0,126,29,51.6,39.8,55,63.6,48.1,56,8,14.3,1,0.19,12.0,Matches,380a15e2
7,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22.0,33,1,0,5,2,28.3,0.27,-4.7,-0.2,183,386,47.4,510,117,48.0,41.1,190,74.2,54.9,183,15,8.2,9,0.39,13.8,Matches,3d214e5f
8,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1.0,1,0,0,0,0,1.4,0.29,0.4,0.45,3,4,75.0,16,6,12.5,20.4,7,28.6,25.9,10,0,0.0,0,0.0,18.5,Matches,db87a2c4
9,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,5.0,7,1,0,2,0,8.1,0.28,1.1,0.22,36,86,41.9,76,22,57.9,46.9,44,95.5,64.8,46,2,4.3,2,0.4,12.8,Matches,5ee6e943
10,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2.0,7,1,0,2,0,4.1,0.35,-2.9,-1.46,6,13,46.2,42,14,28.6,30.7,10,10.0,30.0,10,0,0.0,3,1.5,17.9,Matches,f5dfc256
11,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21.0,50,5,1,6,0,39.3,0.31,-10.7,-0.51,184,415,44.3,589,66,48.9,40.2,179,70.9,52.1,165,13,7.9,18,0.86,15.9,Matches,2434f24a
12,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13.0,26,2,0,4,1,18.1,0.32,-6.9,-0.53,37,137,27.0,267,49,33.3,34.6,101,47.5,38.1,85,3,3.5,5,0.38,12.4,Matches,e8c5dd4d
13,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,23-295,1998,10.0,13,1,0,2,2,10.0,0.26,-1.0,-0.1,58,157,36.9,239,37,47.7,39.7,64,67.2,46.6,83,2,2.4,10,1.0,14.6,Matches,62124972
14,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,22-351,1999,10.0,7,0,0,2,0,8.7,0.27,1.7,0.17,21,38,55.3,213,69,13.6,23.7,55,16.4,22.1,60,3,5.0,13,1.3,17.1,Matches,08f5afaa
15,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,32-328,1989,1.0,0,0,0,0,0,0.0,,0.0,0.0,9,25,36.0,32,5,46.9,37.5,10,100.0,59.5,10,0,0.0,0,0.0,12.5,Matches,fbf83734
16,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,23-361,1998,2.5,5,1,0,0,0,3.2,0.2,-1.8,-0.74,2,8,25.0,43,12,16.3,25.0,19,5.3,18.6,20,0,0.0,5,2.0,16.9,Matches,2c127b6f
17,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,28-294,1993,23.0,31,5,0,6,2,28.9,0.25,-0.1,-0.01,181,395,45.8,631,124,45.0,37.9,183,60.7,43.8,208,14,6.7,12,0.52,12.7,Matches,db3164e1
18,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,28-159,1993,18.0,16,3,0,2,0,16.9,0.33,0.9,0.05,93,203,45.8,426,91,29.8,31.5,114,66.7,50.1,171,9,5.3,12,0.67,14.7,Matches,cecbce23
19,Ivo Grbić\3f034750,hr CRO,GK,Lille,26-024,1996,21.0,28,2,1,6,1,27.3,0.29,0.3,0.01,110,287,38.3,421,85,44.4,38.6,164,61.0,46.2,205,21,10.2,13,0.62,14.6,Matches,3f034750
20,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,21-207,2000,13.3,27,1,1,3,2,20.7,0.3,-4.3,-0.32,75,188,39.9,295,65,41.7,37.9,109,59.6,47.4,112,9,8.0,8,0.6,14.5,Matches,667b65da
21,Eiji Kawashima\a4527d33,jp JPN,GK,Strasbourg,38-328,1983,1.0,0,0,0,0,0,0.0,0.02,0.0,0.02,1,4,25.0,24,5,8.3,28.4,7,28.6,32.3,8,0,0.0,0,0.0,13.2,Matches,a4527d33
22,Alban Lafont\4e7db402,fr FRA,GK,Nantes,23-019,1999,23.0,28,1,0,3,1,26.9,0.28,-0.1,0.0,126,399,31.6,504,76,50.6,44.5,176,81.8,59.5,173,12,6.9,13,0.57,14.1,Matches,4e7db402
23,Jean-Louis Leca\edbe46dc,fr FRA,GK,Lens,36-143,1985,20.5,28,2,1,2,0,24.3,0.33,-3.7,-0.18,95,220,43.2,436,102,37.6,34.6,148,37.8,34.7,155,18,11.6,13,0.63,13.9,Matches,edbe46dc
24,Anthony Lopes\f00de885,pt POR,GK,Lyon,31-133,1990,21.8,29,3,1,4,3,28.8,0.27,2.8,0.13,96,196,49.0,556,102,26.3,31.0,152,32.9,33.4,172,7,4.1,17,0.78,15.3,Matches,f00de885
25,Pau López\20b9f052,es ESP,GK,Marseille,27-060,1994,19.0,15,3,0,1,0,17.6,0.29,2.6,0.14,97,230,42.2,750,95,25.3,30.2,106,37.7,35.4,107,17,15.9,17,0.89,16.2,Matches,20b9f052
26,Steve Mandanda\1d2d5cc8,fr FRA,GK,Marseille,36-320,1985,4.0,5,0,0,3,1,3.0,0.21,-1.0,-0.26,15,25,60.0,87,15,21.8,29.6,30,20.0,30.3,36,3,8.3,5,1.25,17.8,Matches,1d2d5cc8
27,Paul Nardi\2d70dbe5,fr FRA,GK,Lorient,27-269,1994,22.0,38,4,4,3,2,31.4,0.32,-4.6,-0.21,81,317,25.6,361,75,51.0,43.3,176,75.6,58.9,209,6,2.9,7,0.32,13.0,Matches,2d70dbe5
28,Keylor Navas\ecada4fc,cr CRC,GK,Paris S-G,35-058,1986,12.7,11,0,0,2,0,10.8,0.21,-0.2,-0.02,31,58,53.4,259,60,17.0,27.7,87,16.1,24.6,94,5,5.3,10,0.79,13.7,Matches,ecada4fc
29,Alexander Nübel\afb0c500,de GER,GK,Monaco,25-134,1996,23.0,26,6,0,3,2,27.6,0.29,3.6,0.16,106,271,39.1,538,93,36.2,35.5,151,50.3,43.3,153,6,3.9,12,0.52,15.5,Matches,afb0c500
30,Jonas Omlin\c631f952,ch SUI,GK,Montpellier,28-032,1994,17.8,21,0,0,2,0,20.4,0.22,-0.6,-0.03,111,251,44.2,522,111,33.5,33.9,176,43.2,39.3,188,17,9.0,6,0.34,12.6,Matches,c631f952
31,Alexandre Oukidja\ae7d0ecd,dz ALG,GK,Metz,33-207,1988,18.0,36,3,1,2,2,29.9,0.35,-4.1,-0.23,132,312,42.3,360,107,54.4,45.2,139,83.5,60.2,154,24,15.6,19,1.06,15.4,Matches,ae7d0ecd
32,Danijel Petković\b98cea65,me MNE,GK,Angers,28-262,1993,10.0,15,2,0,0,1,13.8,0.26,-0.2,-0.02,32,108,29.6,232,56,32.8,33.7,76,42.1,38.2,86,8,9.3,8,0.8,13.3,Matches,b98cea65
33,Julian Pollersbeck\d6f6ce93,de GER,GK,Lyon,27-179,1994,1.2,1,1,0,0,0,1.4,0.07,0.4,0.3,5,11,45.5,28,7,35.7,35.1,6,16.7,24.8,6,0,0.0,0,0.0,13.0,Matches,d6f6ce93
34,Gaëtan Poussin\c252c705,fr FRA,GK,Bordeaux,23-029,1999,2.0,8,0,0,2,0,4.8,0.33,-3.2,-1.59,12,35,34.3,51,10,37.3,38.0,26,61.5,45.8,28,0,0.0,0,0.0,9.2,Matches,c252c705
35,Predrag Rajković\58ad9383,rs SRB,GK,Reims,26-103,1995,23.0,27,4,1,6,0,25.7,0.28,-1.3,-0.06,113,309,36.6,549,119,42.3,39.3,156,49.4,41.3,207,18,8.7,29,1.26,16.6,Matches,58ad9383
36,Sergio Rico\5f0241b2,es ESP,GK,Paris S-G,28-163,1993,0.3,1,0,0,0,0,1.1,0.41,0.1,0.52,2,3,66.7,8,1,37.5,32.3,0,,,4,0,0.0,1,3.91,18.3,Matches,5f0241b2
37,Romain Salin\74733221,fr FRA,GK,Rennes,37-197,1984,1.0,2,0,0,0,0,1.0,0.32,-1.0,-1.04,6,9,66.7,29,8,31.0,35.3,3,0.0,13.3,6,1,16.7,1,1.0,14.5,Matches,74733221
38,Matz Sels\834b5c4c,be BEL,GK,Strasbourg,29-350,1992,22.0,29,3,0,4,1,27.0,0.31,-1.0,-0.04,114,267,42.7,428,79,46.3,38.1,142,48.6,43.2,161,15,9.3,12,0.55,14.2,Matches,834b5c4c
1,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20.0,31,1,0,6,1,30.0,0.35,0.0,0.0,91,271,33.6,801,108,29.0,31.5,125,31.2,31.1,158,16,10.1,25,1.25,15.3,Matches,47064058
2,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4.0,7,0,0,3,0,6.9,0.29,-0.1,-0.01,12,24,50.0,90,22,23.3,28.7,37,8.1,19.9,38,1,2.6,4,1.0,16.0,Matches,d28339cb
3,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13.0,26,2,1,4,2,21.2,0.3,-2.8,-0.21,121,316,38.3,395,42,57.0,45.4,111,82.0,57.3,134,7,5.2,17,1.31,16.3,Matches,25bdea4b
4,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19.0,27,3,0,2,0,26.1,0.36,-0.9,-0.05,144,290,49.7,632,95,36.1,34.5,128,48.4,42.4,157,13,8.3,17,0.89,14.4,Matches,db401046
5,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1.0,2,1,0,1,0,2.0,0.21,0.0,-0.01,8,22,36.4,30,6,50.0,40.4,13,53.8,40.5,14,0,0.0,0,0.0,8.3,Matches,83e0eeb4
6,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19.0,17,1,1,2,1,20.7,0.25,4.7,0.25,182,426,42.7,633,76,48.8,43.0,150,78.0,63.3,173,11,6.4,12,0.63,15.1,Matches,a92ab7be
7,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8.0,30,2,0,4,2,24.4,0.44,-3.6,-0.46,70,193,36.3,293,28,49.5,42.1,69,69.6,53.8,51,3,5.9,12,1.5,17.0,Matches,86314793
8,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21.0,35,2,0,2,2,30.9,0.31,-2.1,-0.1,152,394,38.6,585,86,47.4,39.7,164,71.3,53.5,188,13,6.9,20,0.95,15.5,Matches,17376543
9,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1.0,2,0,0,0,1,1.1,0.19,0.1,0.15,4,17,23.5,36,6,30.6,32.0,9,66.7,47.9,7,0,0.0,0,0.0,8.1,Matches,37998008
10,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20.0,23,3,0,4,1,26.2,0.32,4.2,0.21,95,249,38.2,584,89,34.2,34.0,115,42.6,37.5,139,5,3.6,24,1.2,17.3,Matches,bcb2ccd8
11,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,1.5,4,1,0,0,0,2.5,0.18,-1.5,-0.99,4,9,44.4,47,9,19.1,29.4,7,0.0,23.4,11,3,27.3,1,0.67,15.2,Matches,2e7ff968
12,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12.0,21,0,0,4,1,18.2,0.35,-1.8,-0.15,82,157,52.2,382,44,33.8,34.9,76,36.8,36.7,85,3,3.5,12,1.0,16.1,Matches,3cd9e95a
13,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20.0,32,2,1,6,0,33.2,0.29,1.2,0.06,129,316,40.8,665,111,36.8,34.9,146,48.6,41.7,158,9,5.7,14,0.7,15.1,Matches,ad3389d5
14,Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27-330,1994,1.0,0,0,0,0,0,1.5,0.37,1.5,1.48,8,19,42.1,21,2,52.4,41.1,10,80.0,51.2,22,0,0.0,1,1.0,14.8,Matches,62ba5881
15,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,24-067,1997,19.5,32,3,2,5,2,27.5,0.32,-2.5,-0.13,65,171,38.0,580,83,22.2,29.1,114,36.8,35.6,121,13,10.7,23,1.18,16.7,Matches,cd59b9df
16,Andreas Luthe\7fe12375,de GER,GK,Union Berlin,34-338,1987,20.0,26,1,0,4,2,25.3,0.31,1.3,0.06,132,379,34.8,587,90,46.7,39.8,172,61.0,45.2,191,13,6.8,12,0.6,13.7,Matches,7fe12375
17,Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,23-260,1998,1.0,3,0,0,0,0,1.9,0.48,-1.1,-1.09,2,5,40.0,15,1,26.7,35.1,7,14.3,34.3,3,0,0.0,3,3.0,26.5,Matches,11d8aff0
18,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,24-090,1997,17.0,31,2,1,5,1,23.5,0.26,-6.5,-0.38,70,149,47.0,456,80,25.9,29.3,134,23.1,27.2,154,9,5.8,16,0.94,13.8,Matches,cbac6ec9
19,Manuel Neuer\8778c910,de GER,GK,Bayern Munich,35-321,1986,20.0,19,0,0,1,0,17.4,0.28,-1.6,-0.08,118,203,58.1,774,116,24.2,30.3,118,13.6,27.5,145,10,6.9,35,1.75,20.5,Matches,8778c910
20,Stefan Ortega\c1242d4e,de GER,GK,Arminia,29-097,1992,20.0,27,3,0,4,0,30.4,0.28,3.4,0.17,281,598,47.0,802,46,60.1,46.6,182,63.7,51.1,178,7,3.9,19,0.95,15.9,Matches,c1242d4e
21,Philipp Pentke\c41f7379,de GER,GK,Hoffenheim,36-286,1985,1.0,3,0,0,0,0,2.3,0.33,-0.7,-0.71,4,11,36.4,33,5,30.3,29.5,7,14.3,27.4,8,0,0.0,1,1.0,13.6,Matches,c41f7379
22,Pavao Pervan\c89e8aae,at AUT,GK,Wolfsburg,34-090,1987,2.0,6,1,0,1,1,2.8,0.18,-2.2,-1.11,5,17,29.4,40,10,35.0,35.2,11,27.3,28.6,16,1,6.3,0,0.0,10.9,Matches,c89e8aae
23,Diant Ramaj\b90c4a43,de GER,GK,Eint Frankfurt,20-145,2001,1.0,1,0,0,0,0,0.9,0.22,-0.1,-0.14,5,17,29.4,36,6,38.9,35.7,4,75.0,49.0,20,2,10.0,2,2.0,15.5,Matches,b90c4a43
24,Manuel Riemann\9f941969,de GER,GK,Bochum,33-155,1988,20.0,28,0,1,4,1,33.6,0.33,6.6,0.33,346,749,46.2,893,59,70.5,49.7,158,75.3,54.2,179,24,13.4,34,1.7,17.8,Matches,9f941969
25,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,29-191,1992,1.0,1,0,0,0,0,0.7,0.14,-0.3,-0.31,5,23,21.7,40,3,50.0,38.3,5,60.0,47.2,5,0,0.0,0,0.0,17.0,Matches,a70b8345
26,Marvin Schwäbe\87436846,de GER,GK,Köln,26-292,1995,9.0,13,0,1,0,0,11.6,0.28,-1.4,-0.15,54,112,48.2,345,37,26.4,31.2,67,31.3,34.0,72,3,4.2,3,0.33,14.1,Matches,87436846
27,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,29-254,1992,21.0,43,3,1,7,0,40.8,0.36,-2.2,-0.1,143,347,41.2,585,118,39.0,36.0,172,69.2,51.7,233,10,4.3,15,0.71,13.6,Matches,0d55d942
28,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,33-056,1988,21.0,38,1,1,3,1,40.6,0.34,3.6,0.17,144,324,44.4,733,93,36.2,34.3,132,44.7,39.3,144,10,6.9,23,1.1,15.4,Matches,420c18a1
29,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,31-218,1990,20.0,31,3,0,4,0,32.4,0.31,1.4,0.07,144,415,34.7,654,89,49.2,38.2,158,58.9,47.8,170,5,2.9,22,1.1,15.8,Matches,ce17b5eb
30,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,33-192,1988,1.0,2,0,0,1,0,2.0,0.5,0.0,0.0,6,8,75.0,43,6,18.6,25.9,3,0.0,17.0,3,1,33.3,3,3.0,21.1,Matches,7d3e7da6
31,Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,28-187,1993,2.0,7,0,0,2,0,3.3,0.28,-3.7,-1.84,25,53,47.2,70,14,47.1,38.2,20,100.0,65.7,14,1,7.1,2,1.0,13.0,Matches,a9a6fc08
32,Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,27-106,1994,21.0,23,2,0,0,1,22.2,0.29,0.2,0.01,86,251,34.3,492,115,37.4,36.5,160,41.9,39.1,170,15,8.8,26,1.24,16.8,Matches,5c4bf6ba
1,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21.0,17,0,0,2,1,18.9,0.34,2.9,0.14,90,182,49.5,649,103,21.9,30.0,95,42.1,37.9,139,15,10.8,30,1.43,17.1,Matches,7a2e46a8
2,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1.0,1,0,0,0,0,1.4,0.48,0.4,0.43,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0.0,7.0,Matches,2f965a72
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4.0,2,0,0,1,0,3.5,0.27,1.5,0.38,16,39,41.0,118,28,28.0,30.8,21,28.6,30.3,31,1,3.2,5,1.25,16.0,Matches,28d596a0
4,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11.0,26,3,1,4,2,21.2,0.31,-2.8,-0.25,79,207,38.2,248,40,61.3,47.1,80,68.8,51.5,103,3,2.9,8,0.73,13.7,Matches,1c0eea98
5,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1.0,3,0,0,0,1,0.9,0.31,-1.1,-1.08,5,16,31.3,11,2,72.7,50.5,12,66.7,49.6,5,1,20.0,0,0.0,15.0,Matches,7b4de647
6,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3.0,6,0,1,0,1,5.6,0.37,0.6,0.21,12,46,26.1,73,12,41.1,33.4,32,50.0,40.0,33,0,0.0,1,0.33,12.3,Matches,cc70a1d5
7,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2.0,5,0,0,1,0,4.3,0.4,-0.7,-0.36,20,39,51.3,46,0,58.7,42.0,13,92.3,59.1,21,1,4.8,4,2.0,22.0,Matches,a179d516
8,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8.0,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.5,14.9,Matches,cde3309f
9,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-027,1989,10.0,17,1,0,2,1,18.1,0.39,2.1,0.21,91,214,42.5,234,38,49.6,41.5,107,91.6,62.6,81,6,7.4,3,0.3,11.9,Matches,3a949a25
10,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-178,1993,23.0,14,1,0,1,0,12.5,0.23,-1.5,-0.06,89,157,56.7,581,106,22.5,29.5,88,29.5,34.3,120,11,9.2,24,1.04,17.3,Matches,3bb7b8b4
11,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-299,1985,23.0,30,1,1,4,0,31.4,0.31,1.4,0.06,149,367,40.6,420,85,56.4,45.0,177,73.4,54.6,210,8,3.8,5,0.22,12.0,Matches,9328b835
12,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-304,1998,12.0,24,1,0,5,2,24.4,0.35,2.4,0.2,82,247,33.2,417,56,48.0,38.6,83,56.6,41.0,123,7,5.7,10,0.83,14.3,Matches,f127d782
13,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,33-331,1988,6.0,10,2,0,1,1,11.3,0.33,2.3,0.39,46,126,36.5,143,16,59.4,47.9,51,80.4,55.3,81,7,8.6,5,0.83,12.3,Matches,c3e39f12
14,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-314,1983,11.0,15,0,0,2,0,14.5,0.36,-0.5,-0.04,101,273,37.0,276,26,69.2,51.7,94,87.2,62.8,103,5,4.9,10,0.91,16.7,Matches,d0b3ceb9
15,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-096,1990,23.0,31,1,0,4,2,38.5,0.33,9.5,0.41,92,238,38.7,365,76,38.6,36.2,181,53.6,43.8,192,7,3.6,4,0.17,13.5,Matches,7ba6d84e
16,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-032,1987,20.0,29,3,1,9,0,24.3,0.27,-4.7,-0.23,105,216,48.6,502,112,32.1,31.8,128,43.0,34.7,155,13,8.4,10,0.5,14.1,Matches,ab13a5aa
17,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-020,1996,4.0,9,2,0,0,0,8.0,0.34,-1.0,-0.25,27,73,37.0,102,17,56.9,41.9,28,53.6,42.5,34,1,2.9,4,1.0,15.6,Matches,e082af5b
18,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-018,1987,2.0,6,0,0,1,1,3.3,0.27,-1.7,-0.84,26,65,40.0,58,8,75.9,57.4,22,95.5,70.0,20,1,5.0,3,1.5,15.9,Matches,76eca7e2
19,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-080,1998,2.0,2,0,0,0,0,2.2,0.3,0.2,0.12,8,16,50.0,77,12,18.2,26.4,13,15.4,26.2,10,0,0.0,3,1.5,16.1,Matches,62d7ef38
20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-314,1988,19.0,37,4,0,5,2,34.0,0.33,-1.0,-0.05,131,342,38.3,571,94,46.1,40.3,147,53.7,45.0,168,7,4.2,8,0.42,12.8,Matches,f23f9d20
21,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29-344,1992,3.0,9,0,0,1,0,7.1,0.39,-1.9,-0.65,11,39,28.2,61,11,37.7,36.3,26,61.5,45.7,30,2,6.7,1,0.33,13.1,Matches,2628fd2b
22,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-047,1986,21.0,27,1,0,3,1,27.1,0.31,1.1,0.05,111,229,48.5,348,67,43.1,37.1,160,49.4,38.5,194,10,5.2,15,0.71,15.0,Matches,8f62b6ee
23,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-010,1989,2.0,5,0,0,0,0,3.7,0.54,-1.3,-0.63,13,30,43.3,49,6,53.1,38.9,13,30.8,34.4,14,0,0.0,4,2.0,19.7,Matches,939bc634
