Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,uid
1,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4,4,360,4.0,3,0.75,10,7,70.0,2,0,2,2,50.0,0,0,0,0,,Matches,9e17ccff
2,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0.0,2,2,0,0,0.0,Matches,be13e5a8
3,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22,22,1980,22.0,18,0.82,80,64,80.0,13,4,5,8,36.4,2,2,0,0,0.0,Matches,8a2248b4
4,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4,4,360,4.0,4,1.0,11,8,72.7,2,0,2,1,25.0,1,1,0,0,0.0,Matches,28dabd43
5,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13,13,1170,13.0,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0.0,Matches,28dabd43
6,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,6,5,472,5.2,12,2.29,29,18,58.6,2,1,2,1,20.0,0,0,0,0,,Matches,380a15e2
7,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22,22,1980,22.0,33,1.5,102,69,68.6,7,7,8,4,18.2,1,1,0,0,0.0,Matches,3d214e5f
8,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1,1,90,1.0,1,1.0,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches,db87a2c4
9,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,6,5,453,5.0,7,1.39,26,20,76.9,2,1,2,1,20.0,1,1,0,0,0.0,Matches,5ee6e943
10,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2,2,180,2.0,7,3.5,11,4,45.5,0,1,1,0,0.0,2,1,1,0,50.0,Matches,f5dfc256
11,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21,21,1890,21.0,50,2.38,111,66,59.5,3,8,10,0,0.0,5,5,0,0,0.0,Matches,2434f24a
12,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13,13,1170,13.0,26,2.0,53,30,54.7,3,4,6,3,23.1,2,2,0,0,0.0,Matches,e8c5dd4d
13,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,23-295,1998,10,10,900,10.0,13,1.3,36,25,66.7,3,2,5,3,30.0,1,1,0,0,0.0,Matches,62124972
14,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,22-351,1999,10,10,900,10.0,7,0.7,33,25,78.8,8,1,1,4,40.0,0,0,0,0,,Matches,08f5afaa
15,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,32-328,1989,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches,fbf83734
16,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,23-361,1998,3,2,225,2.5,5,2.0,11,7,63.6,1,0,1,1,50.0,1,1,0,0,0.0,Matches,2c127b6f
17,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,28-294,1993,23,23,2070,23.0,31,1.35,95,70,72.6,5,6,12,5,21.7,5,5,0,0,0.0,Matches,db3164e1
18,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,28-159,1993,18,18,1620,18.0,16,0.89,47,32,72.3,9,4,5,8,44.4,3,3,0,0,0.0,Matches,cecbce23
19,Ivo Grbić\3f034750,hr CRO,GK,Lille,26-024,1996,21,21,1890,21.0,28,1.33,88,63,70.5,8,7,6,2,9.5,2,2,0,0,0.0,Matches,3f034750
20,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,21-207,2000,15,15,1197,13.3,27,2.03,67,43,61.2,2,5,8,1,6.7,1,1,0,0,0.0,Matches,667b65da
21,Eiji Kawashima\a4527d33,jp JPN,GK,Strasbourg,38-328,1983,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,a4527d33
22,Alban Lafont\4e7db402,fr FRA,GK,Nantes,23-019,1999,23,23,2070,23.0,28,1.22,91,64,70.3,9,5,9,5,21.7,2,1,1,0,50.0,Matches,4e7db402
23,Jean-Louis Leca\edbe46dc,fr FRA,GK,Lens,36-143,1985,21,21,1845,20.5,28,1.37,72,46,63.9,8,6,7,4,19.0,2,2,0,0,0.0,Matches,edbe46dc
24,Anthony Lopes\f00de885,pt POR,GK,Lyon,31-133,1990,22,22,1963,21.8,29,1.33,100,77,74.0,8,8,6,5,22.7,3,3,0,0,0.0,Matches,f00de885
25,Pau López\20b9f052,es ESP,GK,Marseille,27-060,1994,19,19,1710,19.0,15,0.79,52,39,76.9,10,5,4,10,52.6,3,3,0,0,0.0,Matches,20b9f052
26,Steve Mandanda\1d2d5cc8,fr FRA,GK,Marseille,36-320,1985,4,4,360,4.0,5,1.25,14,9,64.3,2,2,0,1,25.0,0,0,0,0,,Matches,1d2d5cc8
27,Paul Nardi\2d70dbe5,fr FRA,GK,Lorient,27-269,1994,22,22,1980,22.0,38,1.73,88,56,61.4,3,8,11,4,18.2,5,4,0,1,0.0,Matches,2d70dbe5
28,Keylor Navas\ecada4fc,cr CRC,GK,Paris S-G,35-058,1986,13,13,1144,12.7,11,0.87,51,40,78.4,9,4,0,4,30.8,0,0,0,0,,Matches,ecada4fc
29,Alexander Nübel\afb0c500,de GER,GK,Monaco,25-134,1996,23,23,2070,23.0,26,1.13,77,59,74.0,10,6,7,6,26.1,7,6,0,1,0.0,Matches,afb0c500
30,Jonas Omlin\c631f952,ch SUI,GK,Montpellier,28-032,1994,18,18,1598,17.8,21,1.18,91,70,76.9,8,3,7,5,27.8,0,0,0,0,,Matches,c631f952
31,Alexandre Oukidja\ae7d0ecd,dz ALG,GK,Metz,33-207,1988,18,18,1617,18.0,36,2.0,77,45,57.1,2,7,9,3,16.7,3,3,0,0,0.0,Matches,ae7d0ecd
32,Danijel Petković\b98cea65,me MNE,GK,Angers,28-262,1993,10,10,900,10.0,15,1.5,46,34,71.7,3,3,4,2,20.0,3,2,1,0,33.3,Matches,b98cea65
33,Julian Pollersbeck\d6f6ce93,de GER,GK,Lyon,27-179,1994,2,1,105,1.2,1,0.86,6,6,100.0,1,0,0,1,100.0,1,1,0,0,0.0,Matches,d6f6ce93
34,Gaëtan Poussin\c252c705,fr FRA,GK,Bordeaux,23-029,1999,2,2,180,2.0,8,4.0,12,4,33.3,1,0,1,0,0.0,1,0,1,0,100.0,Matches,c252c705
35,Predrag Rajković\58ad9383,rs SRB,GK,Reims,26-103,1995,23,23,2070,23.0,27,1.17,82,59,72.0,6,9,8,8,34.8,5,4,0,1,0.0,Matches,58ad9383
36,Sergio Rico\5f0241b2,es ESP,GK,Paris S-G,28-163,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches,5f0241b2
37,Romain Salin\74733221,fr FRA,GK,Rennes,37-197,1984,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,74733221
38,Matz Sels\834b5c4c,be BEL,GK,Strasbourg,29-350,1992,22,22,1980,22.0,29,1.32,81,56,67.9,10,5,7,6,27.3,3,3,0,0,0.0,Matches,834b5c4c
1,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20,20,1800,20.0,31,1.55,84,55,64.3,8,4,8,5,25.0,3,1,1,1,50.0,Matches,47064058
2,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,,Matches,d28339cb
3,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13,13,1170,13.0,26,2.0,67,43,64.2,2,4,7,3,23.1,2,2,0,0,0.0,Matches,25bdea4b
4,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19,19,1710,19.0,27,1.42,64,40,62.5,7,3,9,6,31.6,6,3,2,1,40.0,Matches,db401046
5,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1,1,90,1.0,2,2.0,5,4,80.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches,83e0eeb4
6,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19,19,1710,19.0,17,0.89,80,65,80.0,9,5,5,7,36.8,1,1,0,0,0.0,Matches,a92ab7be
7,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8,8,720,8.0,30,3.75,52,26,46.2,0,0,8,0,0.0,2,2,0,0,0.0,Matches,86314793
8,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21,21,1890,21.0,35,1.67,95,62,65.3,5,7,9,6,28.6,2,2,0,0,0.0,Matches,17376543
9,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1,1,90,1.0,2,2.0,6,5,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,37998008
10,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20,20,1800,20.0,23,1.15,75,56,73.3,9,4,7,5,25.0,3,3,0,0,0.0,Matches,bcb2ccd8
11,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,2,1,135,1.5,4,2.67,9,6,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches,2e7ff968
12,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12,12,1080,12.0,21,1.75,53,33,60.4,3,6,3,0,0.0,0,0,0,0,,Matches,3cd9e95a
13,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20,20,1800,20.0,32,1.6,110,80,72.7,10,5,5,4,20.0,4,2,1,1,33.3,Matches,ad3389d5
14,Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27-330,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,62ba5881
15,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,24-067,1997,20,20,1755,19.5,32,1.64,79,52,63.3,14,1,5,2,10.0,3,3,0,0,0.0,Matches,cd59b9df
16,Andreas Luthe\7fe12375,de GER,GK,Union Berlin,34-338,1987,20,20,1800,20.0,26,1.3,81,57,69.1,8,7,5,6,30.0,1,1,0,0,0.0,Matches,7fe12375
17,Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,23-260,1998,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches,11d8aff0
18,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,24-090,1997,17,17,1530,17.0,31,1.82,85,56,65.9,4,4,9,3,17.6,2,2,0,0,0.0,Matches,cbac6ec9
19,Manuel Neuer\8778c910,de GER,GK,Bayern Munich,35-321,1986,20,20,1800,20.0,19,0.95,63,44,69.8,17,1,2,7,35.0,0,0,0,0,,Matches,8778c910
20,Stefan Ortega\c1242d4e,de GER,GK,Arminia,29-097,1992,20,20,1800,20.0,27,1.35,98,74,75.5,3,10,7,5,25.0,3,3,0,0,0.0,Matches,c1242d4e
21,Philipp Pentke\c41f7379,de GER,GK,Hoffenheim,36-286,1985,1,1,90,1.0,3,3.0,7,4,57.1,1,0,0,0,0.0,0,0,0,0,,Matches,c41f7379
22,Pavao Pervan\c89e8aae,at AUT,GK,Wolfsburg,34-090,1987,2,2,180,2.0,6,3.0,11,7,54.5,0,0,2,0,0.0,1,1,0,0,0.0,Matches,c89e8aae
23,Diant Ramaj\b90c4a43,de GER,GK,Eint Frankfurt,20-145,2001,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,b90c4a43
24,Manuel Riemann\9f941969,de GER,GK,Bochum,33-155,1988,20,20,1800,20.0,28,1.4,100,72,72.0,6,4,10,6,30.0,2,0,2,0,100.0,Matches,9f941969
25,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,29-191,1992,1,1,90,1.0,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches,a70b8345
26,Marvin Schwäbe\87436846,de GER,GK,Köln,26-292,1995,9,9,810,9.0,13,1.44,42,29,69.0,5,2,2,2,22.2,0,0,0,0,,Matches,87436846
27,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,29-254,1992,21,21,1890,21.0,43,2.05,108,67,63.0,6,5,10,3,14.3,3,3,0,0,0.0,Matches,0d55d942
28,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,33-056,1988,21,21,1890,21.0,38,1.81,111,74,66.7,6,5,10,2,9.5,3,1,2,0,66.7,Matches,420c18a1
29,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,31-218,1990,20,20,1800,20.0,31,1.55,99,70,71.7,8,6,6,3,15.0,3,3,0,0,0.0,Matches,ce17b5eb
30,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,33-192,1988,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,7d3e7da6
31,Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,28-187,1993,2,2,180,2.0,7,3.5,12,5,41.7,0,1,1,0,0.0,0,0,0,0,,Matches,a9a6fc08
32,Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,27-106,1994,21,21,1890,21.0,23,1.1,71,51,70.4,9,3,9,8,38.1,3,2,1,0,33.3,Matches,5c4bf6ba
1,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21,21,1890,21.0,17,0.81,56,39,69.6,14,5,2,11,52.4,0,0,0,0,,Matches,7a2e46a8
2,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,2f965a72
3,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4,4,360,4.0,2,0.5,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,Matches,28d596a0
4,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11,11,990,11.0,26,2.36,61,39,62.3,1,0,10,0,0.0,3,3,0,0,0.0,Matches,1c0eea98
5,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1,1,90,1.0,3,3.0,3,1,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,7b4de647
6,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3,3,270,3.0,6,2.0,13,8,53.8,0,2,1,0,0.0,1,0,1,0,100.0,Matches,cc70a1d5
7,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2,2,180,2.0,5,2.5,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Matches,a179d516
8,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-126,1990,8,8,720,8.0,15,1.87,37,25,64.9,0,5,3,0,0.0,2,2,0,0,0.0,Matches,cde3309f
9,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,33-027,1989,10,10,900,10.0,17,1.7,46,31,65.2,3,3,4,2,20.0,1,1,0,0,0.0,Matches,3a949a25
10,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-178,1993,23,23,2070,23.0,14,0.61,51,36,74.5,18,3,2,13,56.5,1,1,0,0,0.0,Matches,3bb7b8b4
11,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-299,1985,23,23,2070,23.0,30,1.3,99,66,70.7,12,4,7,6,26.1,2,1,1,0,50.0,Matches,9328b835
12,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-304,1998,12,12,1080,12.0,24,2.0,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0.0,Matches,f127d782
13,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,33-331,1988,6,6,540,6.0,10,1.67,29,22,72.4,3,2,1,0,0.0,2,2,0,0,0.0,Matches,c3e39f12
14,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-314,1983,11,11,990,11.0,15,1.36,39,23,61.5,3,3,5,1,9.1,1,0,1,0,100.0,Matches,d0b3ceb9
15,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-096,1990,23,23,2070,23.0,31,1.35,112,82,73.2,11,6,6,5,21.7,4,1,3,0,75.0,Matches,7ba6d84e
16,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-032,1987,20,20,1800,20.0,29,1.45,81,55,67.9,5,8,7,5,25.0,3,3,0,0,0.0,Matches,ab13a5aa
17,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-020,1996,4,4,360,4.0,9,2.25,18,11,61.1,1,1,2,1,25.0,3,2,0,1,0.0,Matches,e082af5b
18,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-018,1987,2,2,180,2.0,6,3.0,13,7,53.8,0,0,2,0,0.0,0,0,0,0,,Matches,76eca7e2
19,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-080,1998,2,2,180,2.0,2,1.0,8,5,75.0,1,1,0,1,50.0,0,0,0,0,,Matches,62d7ef38
20,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-314,1988,19,19,1710,19.0,37,1.95,95,61,65.3,3,4,12,3,15.8,5,4,1,0,20.0,Matches,f23f9d20
21,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29-344,1992,3,3,270,3.0,9,3.0,18,8,50.0,0,0,3,0,0.0,0,0,0,0,,Matches,2628fd2b
22,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-047,1986,21,21,1890,21.0,27,1.29,86,61,69.8,11,3,7,8,38.1,1,1,0,0,0.0,Matches,8f62b6ee
23,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-010,1989,2,2,180,2.0,5,2.5,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,Matches,939bc634
