,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,34-136,1987,22.0,38,29,28,9,1,9,16,56.3,7,299,111,37.1,172,111,16,44,18,1,26,76,114,74,0,Matches
2,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,21-322,2000,19.2,41,25,20,19,2,12,44,27.3,32,409,128,31.3,138,218,53,21,1,0,20,38,79,13,0,Matches
3,Laurent Abergel\31626657,fr FRA,MF,Lorient,29-010,1993,20.3,69,40,31,32,6,33,91,36.3,58,536,161,30.0,192,288,56,30,1,0,29,50,119,9,0,Matches
4,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,21-305,2000,0.5,0,0,0,0,0,0,1,0.0,1,14,1,7.1,0,11,3,1,0,0,1,0,0,0,0,Matches
5,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,18-320,2003,1.1,0,0,0,0,0,0,1,0.0,1,26,4,15.4,4,14,8,2,0,0,2,1,1,1,0,Matches
6,Martin Adeline\7587446d,fr FRA,FWMF,Reims,18-071,2003,2.6,10,8,5,4,1,4,9,44.4,5,63,15,23.8,20,26,17,2,0,0,2,10,20,4,0,Matches
7,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,21-197,2000,17.7,27,21,14,9,4,6,36,16.7,30,371,109,29.4,87,194,90,26,3,0,23,38,65,9,1,Matches
8,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,20-002,2002,12.5,37,25,17,15,5,10,18,55.6,8,222,64,28.8,75,113,34,20,9,0,11,31,68,21,0,Matches
9,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,25-318,1996,18.9,16,8,11,5,0,3,10,30.0,7,104,39,37.5,58,42,4,20,10,0,10,31,47,98,1,Matches
10,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,28-291,1993,14.8,61,35,30,23,8,33,52,63.5,19,250,89,35.6,120,96,34,21,3,0,18,37,98,49,0,Matches
11,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,22-322,1999,1.0,2,2,2,0,0,2,2,100.0,0,4,2,50.0,4,0,0,1,0,0,1,2,4,1,0,Matches
12,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,27-328,1994,6.5,9,6,4,5,0,5,9,55.6,4,108,23,21.3,38,58,12,5,1,0,4,13,22,10,0,Matches
13,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-351,1994,18.9,30,16,3,11,16,5,24,20.8,19,296,74,25.0,37,128,131,18,5,0,13,8,38,19,1,Matches
14,Maghnes Akliouche\b625b241,fr FRA,FWMF,Monaco,19-351,2002,0.2,2,1,1,1,0,0,0,,0,8,2,25.0,1,6,1,1,0,0,1,0,2,0,0,Matches
15,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-197,1998,1.8,8,6,4,4,0,3,6,50.0,3,52,12,23.1,21,24,7,6,0,0,6,6,14,2,0,Matches
16,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,30-021,1992,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches
17,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
18,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,18-023,2004,13.1,9,6,2,3,4,1,7,14.3,6,285,64,22.5,15,126,144,10,0,0,10,8,17,0,0,Matches
19,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,26-349,1995,10.2,14,9,4,6,4,4,14,28.6,10,122,29,23.8,35,47,40,7,2,0,5,8,22,1,0,Matches
20,Ibrahim Amadou\9260926b,fr FRA,DF,Metz,28-311,1993,2.0,4,1,2,2,0,3,3,100.0,0,35,11,31.4,10,22,3,3,1,0,2,1,5,3,0,Matches
21,Jordan Amavi\22721b88,fr FRA,DF,Nice,27-339,1994,1.8,5,2,4,1,0,5,11,45.5,6,22,7,31.8,18,3,1,5,0,0,5,8,13,4,0,Matches
22,Jordan Amavi\22721b88,fr FRA,DF,Marseille,27-339,1994,1.4,7,3,4,2,1,5,9,55.6,4,13,2,15.4,6,6,1,1,0,0,1,1,8,1,0,Matches
23,Benjamin André\ef9c1c95,fr FRA,MF,Lille,31-192,1990,19.5,71,46,22,44,5,17,60,28.3,43,454,139,30.6,153,251,50,52,8,0,44,58,129,42,0,Matches
24,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,23-226,1998,18.7,34,22,10,16,8,12,31,38.7,19,327,83,25.4,61,138,128,15,1,0,14,23,57,4,0,Matches
25,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,19-211,2002,7.8,9,5,2,4,3,3,15,20.0,12,192,57,29.7,34,109,49,13,0,0,13,14,23,4,0,Matches
26,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,29-247,1992,12.7,38,19,24,11,3,16,27,59.3,11,191,55,28.8,102,67,22,26,8,0,18,27,65,40,0,Matches
27,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,21-234,2000,6.1,14,10,9,4,1,4,12,33.3,8,92,31,33.7,40,28,24,15,2,0,13,14,28,10,0,Matches
28,Youcef Atal\6a827d8e,dz ALG,DF,Nice,25-270,1996,11.0,31,20,22,6,3,11,24,45.8,13,137,45,32.8,52,49,36,18,1,0,17,34,65,16,0,Matches
29,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,24-240,1997,0.2,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,1,0,0,1,0,0,0,0,Matches
30,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,32-025,1990,4.3,8,6,3,5,0,1,4,25.0,3,67,22,32.8,33,34,0,5,2,0,3,2,10,11,0,Matches
31,Loïc Bade\114bbdee,fr FRA,DF,Rennes,21-306,2000,10.9,5,3,3,2,0,2,5,40.0,3,52,14,26.9,34,17,1,19,10,0,9,23,28,63,1,Matches
32,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,20-322,2001,8.6,19,12,13,6,0,4,11,36.4,7,72,28,38.9,40,27,5,6,4,0,2,26,45,31,0,Matches
33,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,20-053,2001,1.5,0,0,0,0,0,0,0,,0,39,10,25.6,1,20,18,0,0,0,0,0,0,0,0,Matches
34,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,29-259,1992,6.1,8,4,1,5,2,3,8,37.5,5,108,21,19.4,7,40,61,8,0,0,8,4,12,2,0,Matches
35,Dénys Bain\5065d67d,fr FRA,DF,Brest,28-224,1993,1.0,2,2,1,1,0,0,0,,0,20,10,50.0,15,5,0,2,0,0,2,1,3,5,0,Matches
36,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,5.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Cédric Bakambu\0af4dcf0,cd COD,FWMF,Marseille,30-306,1991,0.9,0,0,0,0,0,0,0,,0,18,3,16.7,0,7,11,1,0,0,1,1,1,0,0,Matches
38,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,19-058,2002,2.0,9,5,8,1,0,2,4,50.0,2,32,10,31.3,21,11,0,7,4,0,3,7,16,8,0,Matches
39,Dilane Bakwa\2b5a35e5,fr FRA,FW,Bordeaux,19-169,2002,0.1,1,0,1,0,0,1,2,50.0,1,4,1,25.0,3,1,0,0,0,0,0,0,1,0,0,Matches
40,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,19-025,2003,0.6,0,0,0,0,0,0,0,,0,12,3,25.0,1,5,6,0,0,0,0,0,0,0,0,Matches
41,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,23-016,1999,9.7,11,7,11,0,0,5,16,31.3,11,88,36,40.9,55,30,3,19,5,0,14,29,40,33,0,Matches
42,Jonathan Bamba\b2bd0f6c,fr FRA,MF,Lille,25-322,1996,14.8,15,10,6,7,2,5,26,19.2,21,171,49,28.7,39,79,53,23,1,0,22,23,38,5,0,Matches
43,Simon Banza\be47b750,fr FRA,FW,Lens,25-182,1996,1.4,3,2,0,1,2,0,2,0.0,2,24,5,20.8,0,12,12,2,0,0,2,0,3,2,0,Matches
44,Bradley Barcola\a0d55a09,fr FRA,MF,Lyon,19-162,2002,0.1,1,1,0,0,1,1,1,100.0,0,4,1,25.0,0,2,2,0,0,0,0,0,1,0,0,Matches
45,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,21-097,2000,16.8,35,24,23,11,1,19,33,57.6,14,191,65,34.0,86,88,17,33,6,0,27,48,83,40,1,Matches
46,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,25-078,1996,2.3,5,3,2,2,1,1,7,14.3,6,40,8,20.0,11,17,12,3,1,0,2,3,8,0,0,Matches
47,Amine Bassi\ced1d98f,fr FRA,MF,Metz,24-076,1997,2.0,4,4,1,2,1,1,2,50.0,1,36,11,30.6,4,24,8,7,0,0,7,4,8,2,0,Matches
48,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,23-252,1998,15.5,6,6,0,3,3,1,14,7.1,13,163,43,26.4,11,84,68,10,1,0,9,7,13,5,0,Matches
49,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,28-014,1994,14.0,31,18,17,10,4,7,24,29.2,17,320,98,30.6,123,164,33,20,5,0,15,29,60,18,1,Matches
50,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,23-229,1998,14.5,38,30,11,19,8,8,21,38.1,13,241,89,36.9,83,110,48,27,2,0,25,20,58,18,0,Matches
51,Hatem Ben Arfa\74dc806c,fr FRA,FW,Lille,34-341,1987,0.9,1,1,1,0,0,0,1,0.0,1,11,3,27.3,1,7,3,1,0,0,1,1,2,0,0,Matches
52,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,31-183,1990,15.2,14,7,1,8,5,6,17,35.3,11,233,78,33.5,14,89,130,9,2,0,7,6,20,2,0,Matches
53,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,31-270,1990,0.6,0,0,0,0,0,0,0,,0,6,2,33.3,0,4,2,1,0,0,1,0,0,0,0,Matches
54,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,1,0,Matches
55,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,30-035,1992,0.7,1,0,1,0,0,0,0,,0,9,2,22.2,6,2,1,2,0,0,2,2,3,1,0,Matches
56,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,27-079,1994,2.4,10,8,4,3,3,4,5,80.0,1,73,22,30.1,24,36,13,8,3,0,5,7,17,2,0,Matches
57,Patrick Berg\e4114f5d,no NOR,MF,Lens,24-079,1997,1.2,3,1,0,3,0,1,2,50.0,1,35,12,34.3,7,25,3,2,0,0,2,2,5,1,0,Matches
58,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,22-168,1999,5.8,4,3,3,0,1,2,6,33.3,4,103,28,27.2,26,41,36,14,1,0,13,2,6,2,0,Matches
59,Valon Berisha\d5575935,xk KVX,MFFW,Reims,29-004,1993,3.8,8,6,0,7,1,1,7,14.3,6,104,27,26.0,13,59,32,6,0,0,6,6,14,3,0,Matches
60,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,2,Matches
61,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,28-347,1993,5.1,14,8,6,6,2,6,9,66.7,3,57,17,29.8,22,21,14,10,0,0,10,3,17,6,0,Matches
63,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,5.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,32-036,1990,14.9,24,19,3,16,5,11,25,44.0,14,239,92,38.5,50,140,49,13,2,0,11,7,31,4,0,Matches
65,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,21-317,2000,16.0,42,22,24,13,5,18,39,46.2,21,252,78,31.0,127,93,32,31,5,0,26,37,79,36,1,Matches
66,El Bilal Touré\47c609d5,ml MLI,FW,Reims,20-131,2001,9.3,15,9,2,8,5,2,5,40.0,3,156,40,25.6,28,80,48,15,3,0,12,5,20,11,0,Matches
67,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,28-045,1993,4.7,8,6,6,2,0,1,2,50.0,1,40,19,47.5,23,15,2,6,1,0,5,10,18,18,0,Matches
68,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,19-063,2002,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,1,0,0,1,0,0,0,0,Matches
69,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,1,0,0,1,1,1,1,0,Matches
70,Ludovic Blas\6191093d,fr FRA,FWMF,Nantes,24-042,1997,20.2,23,16,3,15,5,7,15,46.7,8,343,107,31.2,49,165,129,14,2,0,12,23,46,5,1,Matches
71,Myron Boadu\5b479568,nl NED,FW,Monaco,21-028,2001,7.6,7,5,1,3,3,0,2,0.0,2,134,32,23.9,10,47,77,2,0,0,2,1,8,1,0,Matches
72,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,33-161,1988,14.9,18,12,11,7,0,8,18,44.4,10,93,40,43.0,37,51,5,22,9,1,13,23,41,65,0,Matches
73,Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,26-150,1995,0.4,0,0,0,0,0,0,1,0.0,1,9,0,0.0,0,8,1,0,0,0,0,0,0,1,0,Matches
74,Quentin Boisgard\f6496133,fr FRA,MF,Lorient,24-331,1997,6.5,8,7,4,3,1,2,7,28.6,5,117,35,29.9,20,57,40,7,0,0,7,3,11,2,0,Matches
75,Charles Boli\bbdd999a,fr FRA,MF,Lens,23-165,1998,0.4,3,2,1,2,0,1,1,100.0,0,4,2,50.0,1,3,0,0,0,0,0,0,3,0,0,Matches
76,Sven Botman\ccce7025,nl NED,DF,Lille,22-030,2000,16.0,25,19,16,9,0,8,17,47.1,9,110,46,41.8,71,38,1,36,16,0,20,20,45,80,0,Matches
77,Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,27-092,1994,13.4,31,17,12,10,9,14,41,34.1,27,306,81,26.5,62,124,120,19,0,0,19,7,38,24,1,Matches
78,Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,22-141,1999,12.3,23,13,12,8,3,8,25,32.0,17,249,62,24.9,74,119,56,20,3,2,17,16,39,13,0,Matches
79,Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,31-357,1990,13.5,13,10,4,7,2,1,15,6.7,14,170,59,34.7,32,87,51,15,2,0,13,11,24,7,0,Matches
80,Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,28-147,1993,17.0,31,20,8,14,9,8,17,47.1,9,275,69,25.1,37,137,101,12,2,0,10,5,36,1,0,Matches
81,Farid Boulaya\a0791826,dz ALG,FWMF,Metz,28-351,1993,9.7,9,4,4,4,1,4,19,21.1,15,110,29,26.4,26,58,26,14,1,0,13,14,23,2,0,Matches
82,Ismaëlben Boura\62e02107,fr FRA,DF,Lens,21-181,2000,1.1,2,0,1,1,0,0,0,,0,12,3,25.0,6,4,2,2,1,0,1,2,4,6,0,Matches
83,Benjamin Bourigeaud\20e73fac,fr FRA,MFFW,Rennes,28-028,1994,21.3,31,15,8,14,9,15,47,31.9,32,328,86,26.2,86,128,114,39,2,0,37,29,60,31,0,Matches
84,Redwan Bourles\5c7895a0,fr FRA,MFFW,Lorient,19-040,2003,0.2,0,0,0,0,0,0,0,,0,5,1,20.0,2,0,3,0,0,0,0,0,0,0,0,Matches
85,Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,22-063,1999,1.8,4,1,2,2,0,2,8,25.0,6,24,7,29.2,12,10,2,3,1,0,2,4,8,6,0,Matches
86,Bilal Brahimi\02bcaf8e,fr FRA,FWDF,Angers,21-334,2000,3.8,3,1,0,2,1,2,4,50.0,2,55,16,29.1,10,25,20,1,0,0,1,2,5,1,0,Matches
87,Bilal Brahimi\02bcaf8e,fr FRA,MF,Nice,21-334,2000,0.2,1,1,0,1,0,0,0,,0,2,1,50.0,0,1,1,0,0,0,0,0,1,0,0,Matches
88,Lilian Brassier\5b146df3,fr FRA,DF,Brest,22-101,1999,13.1,22,13,16,6,0,4,9,44.4,5,143,52,36.4,93,48,2,29,11,0,18,29,51,77,0,Matches
89,Jimmy Briand\f83c8d6c,fr FRA,FWMF,Bordeaux,36-193,1985,2.0,4,1,3,1,0,2,2,100.0,0,42,12,28.6,11,15,16,2,1,0,1,0,4,2,0,Matches
90,Dylan Bronn\edd81e2a,tn TUN,DF,Metz,26-237,1995,17.0,27,18,16,9,2,9,17,52.9,8,171,74,43.3,98,69,4,32,12,1,20,39,66,54,1,Matches
91,Osman Bukari\eab85789,gh GHA,FWMF,Nantes,23-060,1998,6.4,9,5,4,2,3,5,12,41.7,7,111,22,19.8,23,44,44,5,0,0,5,14,23,1,0,Matches
92,Maxime Busi\7b082ec2,be BEL,DF,Reims,22-120,1999,2.5,1,0,1,0,0,0,2,0.0,2,40,7,17.5,17,14,9,6,1,0,5,3,4,5,0,Matches
93,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,23-022,1999,0.9,0,0,0,0,0,0,2,0.0,2,20,5,25.0,7,11,2,3,2,0,1,0,0,1,0,Matches
94,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Jimmy Cabot\46359159,fr FRA,DF,Angers,27-299,1994,20.6,86,45,58,22,6,44,88,50.0,44,405,141,34.8,209,137,59,31,0,0,31,51,137,29,0,Matches
96,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,24-225,1997,17.0,52,36,31,17,4,21,37,56.8,16,202,74,36.6,88,76,38,23,3,0,20,43,95,34,0,Matches
97,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,24-323,1997,2.1,4,1,2,0,2,1,5,20.0,4,49,9,18.4,15,24,10,2,0,0,2,2,6,1,0,Matches
98,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,37-024,1985,6.7,3,2,0,3,0,0,10,0.0,10,89,26,29.2,31,41,17,7,3,0,4,10,13,9,0,Matches
99,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,5.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
100,Jens Cajuste\928a4a61,se SWE,MF,Reims,22-185,1999,1.2,2,1,0,2,0,2,6,33.3,4,21,3,14.3,7,10,4,0,0,0,0,1,3,2,0,Matches
101,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,25-147,1996,11.2,15,9,6,9,0,7,10,70.0,3,51,17,33.3,23,26,2,13,5,0,8,16,31,27,0,Matches
102,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,20-005,2002,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
103,Mahdi Camara\8577e60a,fr FRA,MFDF,Saint-Étienne,23-226,1998,20.4,60,33,25,29,6,15,40,37.5,25,393,119,30.3,130,193,70,42,10,0,32,47,107,34,1,Matches
104,Mamadou Camara\316e70c7,fr FRA,FW,Troyes,21-004,2001,0.4,1,0,1,0,0,0,1,0.0,1,9,0,0.0,2,2,5,0,0,0,0,0,1,0,0,Matches
105,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Rennes,19-093,2002,1.6,5,3,2,1,2,3,5,60.0,2,43,11,25.6,15,20,8,1,1,0,0,1,6,2,0,Matches
106,Fali Candé\3cc4bb19,gw GNB,DF,Metz,24-018,1998,1.0,3,1,0,1,2,0,1,0.0,1,12,4,33.3,4,5,3,3,0,0,3,2,5,2,0,Matches
107,Pierrick Capelle\79b2399c,fr FRA,MFDF,Angers,34-302,1987,7.8,20,16,9,10,1,9,24,37.5,15,149,36,24.2,49,72,28,12,1,0,11,17,37,9,0,Matches
108,Maxence Caqueret\f81ef10d,fr FRA,MF,Lyon,21-361,2000,18.9,57,42,25,26,6,19,64,29.7,45,470,145,30.9,150,265,55,34,8,0,26,47,104,22,1,Matches
109,Irvin Cardona\5e080f73,fr FRA,FW,Brest,24-187,1997,10.0,11,4,3,6,2,2,11,18.2,9,208,40,19.2,28,109,71,15,0,0,15,10,21,12,0,Matches
110,Igor Carioca\e3e32fbb,br BRA,DF,Lorient,25-174,1996,14.8,28,15,15,8,5,9,30,30.0,21,260,64,24.6,113,99,48,19,1,0,18,28,56,29,0,Matches
111,Moreto Cassamã\f54d2149,gw GNB,MF,Reims,23-360,1998,8.6,15,11,9,6,0,2,14,14.3,12,127,42,33.1,45,74,8,22,8,0,14,10,25,6,0,Matches
112,Jean-Charles Castelletto\e0f3a1f6,cm CMR,DF,Nantes,27-016,1995,15.9,28,18,21,7,0,11,20,55.0,9,129,36,27.9,77,49,3,22,11,2,11,27,55,61,0,Matches
113,Zeki Çelik\31a62dc7,tr TUR,DF,Lille,24-359,1997,17.2,42,25,27,13,2,18,31,58.1,13,258,73,28.3,116,101,41,37,3,0,34,30,72,26,0,Matches
