,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,22-038,2000,22,1969,90,95.1,21.9,22,90,21,0,,0,0.77,14,43,-29,-1.33,+1.35,18.0,36.6,-18.6,-0.85,-0.18,Matches
2,Tammy Abraham\f586779e,eng ENG,FW,Chelsea,24-132,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
3,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-213,1996,17,1116,66,53.9,12.4,13,79,7,4,23,2,1.29,14,18,-4,-0.32,-0.04,15.8,18.0,-2.2,-0.18,-0.08,Matches
4,Adrián\f76e6b4e,es ESP,GK,Liverpool,35-039,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
5,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-250,2001,12,926,77,46.8,10.3,10,89,8,2,18,7,1.25,9,6,+3,+0.29,+0.38,8.4,15.1,-6.7,-0.66,-0.63,Matches
6,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-300,1998,11,925,84,42.8,10.3,10,88,9,1,45,3,0.82,10,17,-7,-0.68,-0.17,11.3,13.5,-2.2,-0.22,-0.14,Matches
7,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-358,1995,8,581,73,26.9,6.5,6,90,6,2,21,15,2.38,10,3,+7,+1.08,-0.97,9.9,4.9,+5.0,+0.77,-1.05,Matches
8,Marc Albrighton\b827d5b3,eng ENG,DFFW,Leicester City,32-085,1989,11,637,58,33.7,7.1,6,90,6,5,19,7,1.27,9,17,-8,-1.13,-1.35,7.3,18.8,-11.5,-1.63,-1.89,Matches
9,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-306,1991,12,766,64,37.0,8.5,9,80,2,3,17,0,2.58,22,3,+19,+2.23,+0.71,25.6,5.0,+20.5,+2.41,+1.51,Matches
10,Ryan Alebiousu\ce048fb8,eng ENG,FW,Arsenal,20-056,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
11,Ajibola Alese\182a8b9d,eng ENG,DF,West Ham,22-025,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
12,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-127,1998,21,1863,89,90.0,20.7,21,89,19,0,,0,2.24,54,17,+37,+1.79,+0.05,52.1,20.9,+31.3,+1.51,+0.47,Matches
13,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-132,1992,21,1890,90,91.3,21.0,21,90,21,0,,0,2.24,53,17,+36,+1.71,-0.79,52.1,21.6,+30.5,+1.45,-0.12,Matches
14,Allan\cc700722,br BRA,MF,Everton,31-034,1991,18,1537,85,81.3,17.1,17,88,13,1,40,1,1.00,22,30,-8,-0.47,+0.81,21.9,24.4,-2.5,-0.15,+0.53,Matches
15,Dele Alli\cea4ee8f,eng ENG,MF,Everton,25-306,1996,1,66,66,3.5,0.7,0,,0,1,66,0,0.00,1,3,-2,-2.73,-2.18,0.4,2.2,-1.8,-2.43,-2.27,Matches
16,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,25-306,1996,10,657,66,34.8,7.3,8,80,5,2,11,9,1.40,6,13,-7,-0.96,-1.54,9.2,11.1,-2.0,-0.27,-1.08,Matches
17,Miguel Almirón\862a1c15,py PAR,MF,Newcastle Utd,28-001,1994,17,980,58,49.5,10.9,11,79,4,6,18,4,0.65,10,26,-16,-1.47,-1.11,10.2,21.9,-11.6,-1.07,-0.69,Matches
18,Marcos Alonso\f4290206,es ESP,DF,Chelsea,31-045,1990,18,1431,80,66.3,15.9,16,85,10,2,34,5,1.72,26,14,+12,+0.75,-1.47,23.5,15.4,+8.1,+0.51,-0.80,Matches
19,Steven Alzate\ad1f61f3,co COL,MF,Brighton,23-156,1998,6,250,42,12.6,2.8,3,74,1,3,9,7,1.67,2,3,-1,-0.36,-0.41,2.0,4.1,-2.1,-0.76,-0.80,Matches
20,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,27-052,1994,12,966,81,51.1,10.7,11,86,10,1,21,5,1.42,15,22,-7,-0.65,-0.85,14.4,21.0,-6.5,-0.61,-0.48,Matches
21,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,25-256,1996,19,1566,82,75.7,17.4,17,90,16,2,22,0,1.16,26,26,0,0.00,+0.54,22.7,21.7,+1.0,+0.06,+0.05,Matches
22,Elliot Anderson\de31038e,sct SCO,MF,Newcastle Utd,19-097,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
23,Florin Andone\dc008610,ro ROU,FW,Brighton,28-306,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24,Vincent Angelini\536e58cc,sct SCO,GK,Watford,18-152,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
25,Michail Antonio\ac05f970,jm JAM,FW,West Ham,31-320,1990,23,2017,88,93.4,22.4,22,90,17,1,45,0,1.74,41,28,+13,+0.58,+1.84,32.0,27.6,+4.3,+0.19,+0.27,Matches
26,Cameron Archer\05e8ca6d,eng ENG,MFFW,Aston Villa,20-205,2001,3,27,9,1.4,0.3,0,,0,3,9,9,1.00,1,0,+1,+3.33,+3.56,0.2,0.8,-0.7,-2.21,-1.92,Matches
27,Alphonse Areola\2f965a72,fr FRA,GK,West Ham,28-349,1993,1,90,90,4.2,1.0,1,90,1,0,,23,0.00,0,1,-1,-1.00,-1.52,0.3,1.8,-1.5,-1.49,-1.73,Matches
28,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,25-001,1997,18,1197,67,57.8,13.3,14,83,9,4,10,4,0.94,12,23,-11,-0.83,-1.24,15.5,21.5,-6.0,-0.45,-0.74,Matches
29,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,29-318,1992,10,429,43,20.7,4.8,4,79,2,6,19,2,2.10,7,5,+2,+0.42,+0.91,5.9,7.7,-1.9,-0.39,-0.31,Matches
30,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,27-131,1994,4,360,90,16.7,4.0,4,90,4,0,,20,1.75,6,2,+4,+1.00,-0.30,4.1,2.5,+1.6,+0.39,-0.47,Matches
31,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-089,2001,1,7,7,0.3,0.1,0,,0,1,7,7,0.00,0,1,-1,-12.86,-13.36,0.1,0.1,0.0,-0.63,-0.81,Matches
32,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-238,1989,14,1037,74,52.4,11.5,12,83,7,2,18,0,1.64,17,16,+1,+0.09,-0.68,16.3,16.9,-0.6,-0.05,-0.40,Matches
33,Brandon Austin\5e253986,eng ENG,GK,Tottenham,23-034,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
34,Zach Awe\7a0ae4f0,eng ENG,DF,Arsenal,18-033,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
35,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-153,1991,21,1353,64,65.4,15.0,16,81,7,5,13,1,1.10,21,25,-4,-0.27,-0.39,18.9,19.2,-0.2,-0.02,-0.17,Matches
36,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-170,1991,13,1168,90,59.0,13.0,13,90,12,0,,0,0.85,19,35,-16,-1.23,-1.23,18.0,26.6,-8.6,-0.66,-0.51,Matches
37,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-167,1989,17,1390,82,64.4,15.4,16,85,11,1,27,7,1.94,24,11,+13,+0.84,-1.15,21.6,15.4,+6.3,+0.40,-1.05,Matches
38,Kwadwo Baah\f240e4f2,eng ENG,FW,Watford,19-015,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
39,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11,990,90,50.0,11.0,11,90,11,0,,10,0.27,9,26,-17,-1.55,-1.45,10.3,20.2,-9.9,-0.90,-0.39,Matches
40,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-186,1997,9,424,47,21.4,4.7,4,67,1,5,31,0,1.00,10,7,+3,+0.64,+1.04,5.7,3.3,+2.4,+0.51,+1.06,Matches
41,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,4,217,54,10.5,2.4,3,67,1,1,17,9,1.75,5,4,+1,+0.41,+0.17,4.6,5.0,-0.3,-0.13,-0.16,Matches
42,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,2,70,35,3.5,0.8,1,58,0,1,12,0,0.00,0,1,-1,-1.29,-1.76,0.4,1.0,-0.6,-0.74,-0.91,Matches
43,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,6,459,77,23.2,5.1,5,87,4,1,23,0,0.67,6,12,-6,-1.18,-0.58,7.2,10.3,-3.1,-0.61,-0.21,Matches
44,Scott Banks\d01f8942,sct SCO,MF,Crystal Palace,20-138,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
45,Jamal Baptiste\41d3704d,eng ENG,DF,West Ham,18-092,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
46,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-309,1998,17,817,48,37.8,9.1,9,69,3,8,24,1,1.12,12,13,-1,-0.11,+0.76,10.6,9.4,+1.1,+0.13,+0.42,Matches
47,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,36-228,1985,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
48,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-068,1993,5,154,31,7.1,1.7,1,72,0,4,21,13,2.20,9,1,+8,+4.68,+3.69,6.9,0.4,+6.4,+3.77,+3.22,Matches
49,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-104,1989,9,385,43,21.4,4.3,4,75,1,5,17,3,0.44,2,10,-8,-1.87,-1.68,4.6,7.9,-3.3,-0.77,-0.26,Matches
50,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-064,1997,17,1116,66,59.0,12.4,14,75,5,3,24,2,1.00,19,22,-3,-0.24,-0.01,18.8,21.4,-2.6,-0.21,+0.40,Matches
51,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-105,2002,1,43,43,2.2,0.5,0,,0,1,43,5,3.00,2,2,0,0.00,+0.74,1.6,1.1,+0.5,+1.06,+1.54,Matches
52,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-035,1999,5,380,76,17.6,4.2,4,90,4,1,20,7,1.20,4,7,-3,-0.71,-0.15,4.7,5.9,-1.2,-0.28,-0.18,Matches
53,Owen Beck\a011a1e9,wls WAL,DF,Liverpool,19-186,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
54,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-305,1996,18,1504,84,72.7,16.7,17,86,14,1,45,4,1.33,22,27,-5,-0.30,+0.02,21.5,24.0,-2.5,-0.15,-0.01,Matches
55,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-299,1997,1,31,31,1.6,0.3,0,,0,1,31,0,0.00,0,1,-1,-2.90,-2.32,0.0,0.7,-0.7,-2.03,-1.81,Matches
56,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-299,1997,8,75,9,3.6,0.8,0,,0,8,9,14,1.75,2,2,0,0.00,-0.27,1.6,1.6,0.0,+0.01,-0.01,Matches
57,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1,90,90,4.8,1.0,1,90,1,0,,20,0.00,0,3,-3,-3.00,-2.50,0.7,1.3,-0.7,-0.67,-0.44,Matches
58,Héctor Bellerín\f874dd44,es ESP,DFMF,Arsenal,26-329,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
59,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-185,1995,21,1497,71,69.3,16.6,19,78,3,2,11,0,1.76,31,19,+12,+0.72,+0.86,22.5,18.3,+4.2,+0.25,+0.25,Matches
60,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-251,1997,1,31,31,1.6,0.3,0,,0,1,31,0,0.00,1,2,-1,-2.90,-3.00,0.6,0.6,0.0,+0.12,-0.32,Matches
61,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-070,1990,21,1093,52,52.8,12.1,11,82,6,10,19,1,1.14,16,19,-3,-0.25,-0.25,16.3,13.9,+2.4,+0.19,+0.32,Matches
62,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-107,1990,18,1102,61,61.2,12.2,13,76,5,5,23,0,0.67,10,19,-9,-0.74,-0.48,11.4,17.6,-6.2,-0.51,+0.15,Matches
63,Steven Bergwijn\a29b1131,nl NED,FW,Tottenham,24-126,1997,11,422,38,22.3,4.7,4,81,1,7,14,4,1.91,6,4,+2,+0.43,+0.49,6.0,6.0,0.0,0.00,-0.56,Matches
64,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-190,1989,4,337,84,17.8,3.7,4,84,3,0,,5,0.50,5,7,-2,-0.53,-0.36,6.2,6.3,-0.1,-0.01,+0.44,Matches
65,Marcus Bettinelli\0d85a4e8,eng ENG,GK,Chelsea,29-263,1992,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
66,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,20-351,2001,4,41,10,1.9,0.5,0,,0,4,10,14,1.75,1,0,+1,+2.20,+2.83,0.4,0.7,-0.4,-0.79,-0.66,Matches
67,Mika Biereth\a1d95db3,dk DEN,FW,Arsenal,19-003,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
68,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-165,1996,14,1210,86,61.1,13.4,14,86,11,0,,2,1.50,15,15,0,0.00,0.00,16.1,15.2,+0.8,+0.06,+0.31,Matches
69,Lamare Bogarde\bca5c4a7,nl NED,MF,Aston Villa,18-037,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
70,Willy Boly\a4ac4b8f,ci CIV,DF,Wolves,31-008,1991,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
71,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-053,1996,24,2034,85,94.2,22.6,23,88,13,1,17,0,1.67,42,30,+12,+0.53,+1.25,32.8,26.7,+6.1,+0.27,+1.61,Matches
72,Conor Bradley\bbd67769,nir NIR,DF,Liverpool,18-217,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
73,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-229,2002,2,146,73,7.7,1.6,1,90,1,1,56,12,0.50,2,4,-2,-1.23,-0.67,0.8,4.7,-3.9,-2.39,-2.32,Matches
74,Nathan Broadhead\43309491,wls WAL,FWMF,Everton,23-312,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
75,Armando Broja\97220da2,al ALB,FW,Southampton,20-154,2001,19,1056,56,51.0,11.7,11,80,2,8,22,0,1.26,19,21,-2,-0.17,+0.27,17.5,16.4,+1.2,+0.10,+0.49,Matches
76,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-054,1995,17,1383,81,76.8,15.4,15,90,15,2,17,0,0.76,14,20,-6,-0.39,+0.69,14.9,23.9,-9.0,-0.59,-0.09,Matches
77,Lewis Brunt\a2081c6b,eng ENG,MF,Leicester City,21-097,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
78,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-000,2001,9,94,10,5.0,1.0,0,,0,9,10,7,1.44,2,1,+1,+0.96,+0.96,2.2,1.1,+1.0,+1.01,+0.60,Matches
79,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-048,1996,20,1292,65,65.3,14.4,16,77,4,4,16,1,1.20,21,23,-2,-0.14,+0.12,15.0,18.7,-3.7,-0.26,+0.17,Matches
80,Hugo Bueno\bfc3b3a0,es ESP,DF,Wolves,19-146,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
81,Dan Burn\b2d31e83,eng ENG,DF,Newcastle Utd,29-278,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
82,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-278,1992,13,1022,79,51.6,11.4,12,83,10,1,21,2,1.31,10,12,-2,-0.18,-0.36,12.7,15.8,-3.0,-0.26,-0.43,Matches
83,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3,270,90,13.0,3.0,3,90,3,0,,20,0.67,3,6,-3,-1.00,-1.00,1.8,5.3,-3.5,-1.17,-1.40,Matches
84,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-148,1993,4,154,39,7.4,1.7,1,90,1,3,21,4,1.50,1,4,-3,-1.75,-0.39,1.8,3.5,-1.7,-0.98,-0.15,Matches
85,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2,180,90,8.7,2.0,2,90,2,0,,6,0.50,2,5,-3,-1.50,-1.31,1.3,2.8,-1.5,-0.74,-0.65,Matches
86,Moisés Caicedo\16264a81,ec ECU,MF,Brighton,20-101,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
87,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24-332,1997,6,518,86,27.4,5.8,6,86,4,0,,1,1.17,10,9,+1,+0.17,+1.09,9.3,5.1,+4.1,+0.72,+1.33,Matches
88,Chem Campbell\6f711f67,wls WAL,MF,Wolves,19-043,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
89,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-260,1994,23,2057,89,95.2,22.9,23,89,22,0,,0,2.48,50,13,+37,+1.62,-3.62,49.8,16.2,+33.6,+1.47,-1.33,Matches
90,Sergi Canós\1137759d,es ESP,DF,Brentford,25-009,1997,23,1708,74,79.1,19.0,21,78,9,2,32,0,0.87,21,33,-12,-0.63,-0.23,21.1,26.0,-4.8,-0.25,-0.56,Matches
91,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23-349,1998,8,441,55,21.3,4.9,5,74,2,3,24,4,0.38,2,15,-13,-2.65,-1.60,3.6,11.5,-7.9,-1.62,-0.98,Matches
92,Scott Carson\3e1550ee,eng ENG,GK,Manchester City,36-161,1985,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
93,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-188,1997,22,1963,89,99.1,21.8,22,89,20,0,,0,1.23,31,32,-1,-0.05,+15.84,23.8,29.4,-5.6,-0.26,+7.22,Matches
94,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-068,1995,16,1273,80,67.4,14.1,12,90,12,4,48,1,1.38,26,21,+5,+0.35,+1.81,22.3,23.6,-1.3,-0.09,+0.86,Matches
95,Jonny Castro\e28868f3,es ESP,DFMF,Wolves,27-345,1994,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
96,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-005,1989,19,1643,86,83.0,18.3,19,86,16,0,,1,0.79,23,35,-12,-0.66,+0.95,21.5,33.9,-12.4,-0.68,+0.17,Matches
97,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34-362,1987,11,604,55,29.2,6.7,6,79,3,5,26,0,1.45,12,6,+6,+0.89,+0.89,10.2,7.7,+2.5,+0.37,+0.50,Matches
98,Kayky Chagas\17734ea0,br BRA,FW,Manchester City,18-245,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
99,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-221,1999,14,909,65,42.1,10.1,11,77,7,3,20,6,2.14,25,7,+18,+1.78,+0.92,18.4,9.6,+8.8,+0.87,+0.16,Matches
100,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-022,1995,1,2,2,0.1,0.0,0,,0,1,2,0,1.00,0,0,0,0.00,+0.18,0.0,0.0,0.0,0.00,+0.32,Matches
101,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-022,1995,2,170,85,8.6,1.9,2,85,1,0,,4,0.00,0,7,-7,-3.71,-4.50,1.0,5.1,-4.2,-2.22,-2.58,Matches
102,Kgagelo Chauke\06791660,eng ENG,MF,Southampton,19-034,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
103,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-052,1996,6,540,90,25.0,6.0,6,90,6,0,,6,2.67,18,2,+16,+2.67,+1.89,13.8,4.7,+9.0,+1.51,+0.97,Matches
104,Chiquinho\dc6c2f02,pt POR,MF,Wolves,22-006,2000,1,29,29,1.5,0.3,0,,0,1,29,1,0.00,0,0,0,0.00,-0.09,0.6,0.4,+0.2,+0.65,+0.98,Matches
105,Hamza Choudhury\7d2d3329,eng ENG,MFDF,Leicester City,24-133,1997,4,224,56,11.9,2.5,3,68,1,1,20,13,1.00,4,4,0,0.00,+0.27,3.9,7.1,-3.3,-1.31,-1.06,Matches
106,Benjamin Chrisene\b17008fc,eng ENG,DF,Aston Villa,18-030,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
107,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-307,1996,13,1001,77,46.3,11.1,11,86,10,2,28,6,2.08,22,8,+14,+1.26,+0.02,17.1,11.9,+5.2,+0.47,-0.58,Matches
108,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-035,2004,8,188,24,9.5,2.1,1,62,0,7,18,9,1.50,4,3,+1,+0.48,+0.73,3.5,3.9,-0.4,-0.21,+0.12,Matches
109,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-138,1989,13,1014,78,51.2,11.3,12,83,10,1,23,4,0.69,14,26,-12,-1.07,-0.32,10.6,19.4,-8.7,-0.77,-0.11,Matches
